URL,Текущая цена,Цена стим,Выгода
https://market.csgo.com/item/2220010386-188530139-Desert+Eagle+%7C+Oxide+Blaze+%28%D0%9F%D0%BE%D1%81%D0%BB%D0%B5+%D0%BF%D0%BE%D0%BB%D0%B5%D0%B2%D1%8B%D1%85+%D0%B8%D1%81%D0%BF%D1%8B%D1%82%D0%B0%D0%BD%D0%B8%D0%B9%29/,16.91,20.04,3.13
https://market.csgo.com/item/2076469068-188530139-USP-S+%7C+Cyrex+%28%D0%9F%D0%BE%D1%81%D0%BB%D0%B5+%D0%BF%D0%BE%D0%BB%D0%B5%D0%B2%D1%8B%D1%85+%D0%B8%D1%81%D0%BF%D1%8B%D1%82%D0%B0%D0%BD%D0%B8%D0%B9%29/,132.0,140.3,8.3
https://market.csgo.com/item/310777321-302028390-AK-47+%7C+%D0%90%D1%84%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F+%D1%81%D0%B5%D1%82%D0%BA%D0%B0+%28%D0%9F%D0%BE%D1%81%D0%BB%D0%B5+%D0%BF%D0%BE%D0%BB%D0%B5%D0%B2%D1%8B%D1%85+%D0%B8%D1%81%D0%BF%D1%8B%D1%82%D0%B0%D0%BD%D0%B8%D0%B9%29/,13.93,17.8,3.87
https://market.csgo.com/item/3113365111-188530139-USP-S+%7C+%D0%92%D0%B7%D0%B3%D0%BB%D1%8F%D0%B4+%D0%B2+%D0%BF%D1%80%D0%BE%D1%88%D0%BB%D0%BE%D0%B5+%28%D0%9F%D0%BE%D1%81%D0%BB%D0%B5+%D0%BF%D0%BE%D0%BB%D0%B5%D0%B2%D1%8B%D1%85+%D0%B8%D1%81%D0%BF%D1%8B%D1%82%D0%B0%D0%BD%D0%B8%D0%B9%29/,75.77,80.5,4.73
https://market.csgo.com/item/3220860230-188530139-AWP+%7C+%D0%94%D1%80%D0%B5%D0%B2%D0%B5%D1%81%D0%BD%D0%B0%D1%8F+%D0%B3%D0%B0%D0%B4%D1%8E%D0%BA%D0%B0+%28%D0%97%D0%B0%D0%BA%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5+%D0%B2+%D0%B1%D0%BE%D1%8F%D1%85%29/,193.35,230.57,37.22
https://market.csgo.com/item/2735521262-188530139-USP-S+%7C+Cortex+%28%D0%97%D0%B0%D0%BA%D0%B0%D0%BB%D0%B5%D0%BD%D0%BD%D0%BE%D0%B5+%D0%B2+%D0%B1%D0%BE%D1%8F%D1%85%29/,310.78,338.75,27.97
https://market.csgo.com/item/937243362-188530139-Desert+Eagle+%7C+%D0%91%D1%80%D0%BE%D0%BD%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F+%D0%B4%D0%B5%D0%BA%D0%BE%D1%80%D0%B0%D1%86%D0%B8%D1%8F+%28%D0%9F%D0%BE%D1%81%D0%BB%D0%B5+%D0%BF%D0%BE%D0%BB%D0%B5%D0%B2%D1%8B%D1%85+%D0%B8%D1%81%D0%BF%D1%8B%D1%82%D0%B0%D0%BD%D0%B8%D0%B9%29/,19.62,21.0,1.38
